#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
gfz2017vyyv|2017-11-09T12:06:08.31|51.196000|14.578000|2.0|||GFZ|gfz2017vyyv|M|2.72||Germany|
gfz2017vart|2017-10-27T05:12:14.92|51.559000|16.123000|1.0|||GFZ|gfz2017vart|mb|4.16||Poland|
gfz2017uppl|2017-10-21T03:33:55.21|51.374000|15.940000|10.0|||GFZ|gfz2017uppl|mb|3.68||Poland|
gfz2017ubtz|2017-10-13T13:57:25.24|51.440000|15.982000|10.0|||GFZ|gfz2017ubtz|M|3.57||Poland|
gfz2017syjd|2017-09-27T11:31:03.15|51.560000|16.135000|1.0|||GFZ|gfz2017syjd|MLv|3.49||Poland|
gfz2017sorf|2017-09-22T04:14:13.28|51.349000|15.896000|10.0|||GFZ|gfz2017sorf|M|3.08||Poland|
gfz2017qkdi|2017-08-22T05:37:03.48|51.657000|16.125000|1.0|||GFZ|gfz2017qkdi|M|3.16||Poland|
gfz2017kppx|2017-05-31T20:25:26.14|51.517000|16.068000|1.0|||GFZ|gfz2017kppx|mb|4.66||Poland|
gfz2017koiq|2017-05-31T03:37:34.09|51.364000|15.937000|10.0|||GFZ|gfz2017koiq|mb|3.92||Poland|
gfz2017kmpa|2017-05-30T04:34:40.54|51.167000|15.912000|10.0|||GFZ|gfz2017kmpa|M|3.08||Poland|
gfz2017jkem|2017-05-14T15:26:21.77|51.675000|16.302000|0.0|||GFZ|gfz2017jkem|M|2.88||Poland|
gfz2017gwyc|2017-04-08T22:23:13.7|51.566000|16.073000|10.0|||GFZ|gfz2017gwyc|mb|4.71||Poland|
gfz2017grwr|2017-04-06T03:58:59.63|51.349000|15.878000|10.0|||GFZ|gfz2017grwr|M|3.51||Poland|
gfz2017gjva|2017-04-01T18:03:18.41|51.396000|15.816000|10.0|||GFZ|gfz2017gjva|M|3.29||Poland|
gfz2017fpqz|2017-03-21T17:17:22.46|51.402000|15.904000|10.0|||GFZ|gfz2017fpqz|M|3.44||Poland|
gfz2017fhse|2017-03-17T08:50:19.16|51.561000|16.180000|1.0|||GFZ|gfz2017fhse|mb|4.16||Poland|
gfz2017ewwh|2017-03-11T10:24:10.63|51.501000|15.852000|10.0|||GFZ|gfz2017ewwh|M|3.38||Poland|
gfz2017ekoj|2017-03-04T16:46:10.87|51.565000|16.107000|10.0|||GFZ|gfz2017ekoj|mb|4.39||Poland|
gfz2017duxl|2017-02-24T03:09:59.12|51.556000|16.080000|1.0|||GFZ|gfz2017duxl|MLv|3.35||Poland|
gfz2017djav|2017-02-17T15:17:04.81|50.594000|13.741000|3.0|||GFZ|gfz2017djav|MLv|2.31||Czech and Slovak Republics|
gfz2017dbgv|2017-02-13T09:11:48.35|51.573000|16.124000|1.0|||GFZ|gfz2017dbgv|MLv|3.54||Poland|
gfz2017cvmv|2017-02-10T05:24:53.47|51.562000|16.054000|1.0|||GFZ|gfz2017cvmv|MLv|3.34||Poland|
gfz2017bvoa|2017-01-27T00:28:41.17|51.520000|16.123000|1.0|||GFZ|gfz2017bvoa|MLv|3.1||Poland|
